File,Name,Module,Trap OIDs,Numerical Representation,Description
radioCoreDumpTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.84,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName","When radio module in AP dumps core, it informs controller and  controller generates this trap. The core file can be retrieved on demand."
invalidRadioTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.85,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPInvalidRadioType, bsnAPName",This trap will be generated when an AP has joined is using  unsupported radio or a radio slot not currently not being  used.
countryChangeTrap,AIRESPACE-WIRELESS-MIB,deprecated,.1.3.6.1.4.1.14179.2.6.3.86,bsnGlobalDot11CountryIndex,This trap will be generated when an operator changes the country of operation. New country code will be sent in trap.
unsupportedAPTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.87,"bsnAPDot3MacAddress, bsnAPName",This trap will be generated when unsupported AP try to join 40xx/410x or 3500 with 64MB flash.
heartbeatLossTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.88,,This trap will be generated when controller loses  connection with the Supervisor Switch in which it is physically embedded and doesn't hear the heartbeat keepalives from the Supervisor. 
locationNotifyTrap,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.89,locationNotifyContent,This trap will be generated by the location server  for notifications of location events.
ccCopyCompletion,CISCO-CONFIG-COPY-MIB,current,.1.3.6.1.4.1.9.9.96.2.1.1,"ccCopyServerAddress, ccCopyFileName, ccCopyState, ccCopyTimeStarted, ccCopyTimeCompleted, ccCopyFailCause","A ccCopyCompletion trap is sent at the completion of a config-copy request. The ccCopyFailCause is not instantiated, and hence not included in a trap, when  the ccCopyState is success."
ciscoEnvMonShutdownNotification,CISCO-ENVMON-MIB,current,.1.3.6.1.4.1.9.9.13.3.0.1,,"A ciscoEnvMonShutdownNotification is sent if the environmental monitor detects a testpoint reaching a critical state and is about to initiate a shutdown.  This notification  contains no objects so that it may be encoded and sent in the shortest amount of time possible.  Even so, management applications should not rely on receiving such a notification as it may not be sent before the shutdown completes."
ciscoEnvMonVoltageNotification,CISCO-ENVMON-MIB,deprecated,.1.3.6.1.4.1.9.9.13.3.0.2,"ciscoEnvMonVoltageStatusDescr, ciscoEnvMonVoltageStatusValue, ciscoEnvMonVoltageState","A ciscoEnvMonVoltageNotification is sent if the voltage  measured at a given testpoint is outside the normal range  for the testpoint (i.e. is at the warning, critical, or shutdown stage).  Since such a notification is usually  generated before the shutdown state is reached, it can  convey more data and has a better chance of being sent  than does the ciscoEnvMonShutdownNotification. This notification is deprecated in favour of ciscoEnvMonVoltStatusChangeNotif."
ciscoEnvMonTemperatureNotification,CISCO-ENVMON-MIB,deprecated,.1.3.6.1.4.1.9.9.13.3.0.3,"ciscoEnvMonTemperatureStatusDescr, ciscoEnvMonTemperatureStatusValue, ciscoEnvMonTemperatureState","A ciscoEnvMonTemperatureNotification is sent if the  temperature measured at a given testpoint is outside  the normal range for the testpoint (i.e. is at the warning,  critical, or shutdown stage).  Since such a Notification  is usually generated before the shutdown state is reached, it can convey more data and has a better chance of being sent than does the ciscoEnvMonShutdownNotification. This notification is deprecated in favour of  ciscoEnvMonTempStatusChangeNotif."
ciscoEnvMonFanNotification,CISCO-ENVMON-MIB,deprecated,.1.3.6.1.4.1.9.9.13.3.0.4,"ciscoEnvMonFanStatusDescr, ciscoEnvMonFanState","A ciscoEnvMonFanNotification is sent if any one of the fans in the fan array (where extant) fails.  Since such a notification is usually generated before  the shutdown state is reached, it can convey more  data and has a better chance of being sent than does the ciscoEnvMonShutdownNotification. This notification is deprecated in favour of ciscoEnvMonFanStatusChangeNotif."
ciscoEnvMonRedundantSupplyNotification,CISCO-ENVMON-MIB,deprecated,.1.3.6.1.4.1.9.9.13.3.0.5,"ciscoEnvMonSupplyStatusDescr, ciscoEnvMonSupplyState","A ciscoEnvMonRedundantSupplyNotification is sent if the redundant power supply (where extant) fails.  Since such a notification is usually generated before  the shutdown state is reached, it can convey more  data and has a better chance of being sent than does the ciscoEnvMonShutdownNotification. This notification is deprecated in favour of  ciscoEnvMonSuppStatusChangeNotif."
ciscoEnvMonVoltStatusChangeNotif,CISCO-ENVMON-MIB,current,.1.3.6.1.4.1.9.9.13.3.0.6,"ciscoEnvMonVoltageStatusDescr, ciscoEnvMonVoltageStatusValue, ciscoEnvMonVoltageState",A ciscoEnvMonVoltStatusChangeNotif is sent if there is  change in the state of a device being monitored by ciscoEnvMonVoltageState.
ciscoEnvMonTempStatusChangeNotif,CISCO-ENVMON-MIB,current,.1.3.6.1.4.1.9.9.13.3.0.7,"ciscoEnvMonTemperatureStatusDescr, ciscoEnvMonTemperatureStatusValue, ciscoEnvMonTemperatureState",A ciscoEnvMonTempStatusChangeNotif is sent if there  is change in the state of a device being monitored by ciscoEnvMonTemperatureState.
ciscoEnvMonFanStatusChangeNotif,CISCO-ENVMON-MIB,current,.1.3.6.1.4.1.9.9.13.3.0.8,"ciscoEnvMonFanStatusDescr, ciscoEnvMonFanState",A ciscoEnvMonFanStatusChangeNotif is sent if there  is change in the state of a device being monitored by ciscoEnvMonFanState.
ciscoEnvMonSuppStatusChangeNotif,CISCO-ENVMON-MIB,current,.1.3.6.1.4.1.9.9.13.3.0.9,"ciscoEnvMonSupplyStatusDescr, ciscoEnvMonSupplyState",A ciscoEnvMonSupplyStatChangeNotif is sent if there  is change in the state of a device being monitored by ciscoEnvMonSupplyState.
clmgmtLicenseExpired,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.1,"clmgmtFeatureName, clmgmtFeatureVersion","This notification is sent, when a feature license expires. This notification will be sent continuously every week even after the expiry to alert the management application."
clmgmtLicenseExpiryWarning,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.2,"clmgmtFeatureName, clmgmtFeatureVersion, clmgmtFeatureValidityPeriodRemaining","This notification is sent when a license is about to expire. This notification will go out multiple times. First notification goes out when expiry day is 4 weeks ahead, second notification when expiry day is 3 weeks ahead, third notification when expiry day is 2 weeks ahead. This notification will go out daily in the last week of license expiry."
clmgmtLicenseUsageCountExceeded,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.3,"clmgmtLicenseFeatureName, clmgmtLicenseFeatureVersion, clmgmtLicenseMaxUsageCount, clmgmtFeatureWhatIsCounted, clmgmtLicenseComments",This notification is sent when clmgmtLicenseUsageCountRemaining has reached clmgmtLicenseMaxUsageCount for a counting license.
clmgmtLicenseUsageCountAboutToExceed,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.4,"clmgmtLicenseFeatureName, clmgmtLicenseFeatureVersion, clmgmtLicenseMaxUsageCount, clmgmtLicenseUsageCountRemaining, clmgmtFeatureWhatIsCounted, clmgmtLicenseComments",This notification is sent when clmgmtLicenseUsageCountRemaining has reached 80% of clmgmtLicenseMaxUsageCount for a counting license. This is a warning notification to the management application that very soon the maximum count will be reached and after that the device will not allow new entities to make use of this license.
clmgmtLicenseInstalled,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.5,"clmgmtLicenseFeatureName, clmgmtLicenseFeatureVersion, clmgmtLicenseType, clmgmtLicenseComments",This notification is sent when a license is installed successfully.
clmgmtLicenseCleared,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.6,"clmgmtLicenseFeatureName, clmgmtLicenseFeatureVersion, clmgmtLicenseType, clmgmtLicenseComments",This notification is sent when a license is cleared successfully.
clmgmtLicenseRevoked,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.7,"clmgmtLicenseFeatureName, clmgmtLicenseFeatureVersion, clmgmtLicenseType, clmgmtLicenseComments",This notification is sent when a license is revoked successfully.
clmgmtLicenseEULAAccepted,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.8,"clmgmtFeatureName, clmgmtFeatureVersion",This notification is sent when a user accepts End User License Agreement (EULA) for a license.
clmgmtLicenseNotEnforced,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.9,"clmgmtFeatureName, clmgmtFeatureVersion","This notification is sent when a license does not exist for a feature, but the feature is a mandatory feature and it should run. This notification will be sent out periodically to indicate that there is no license installed for this feature and it needs to be done as soon as possible."
clSmartLicDevStatus,CISCO-LICENSE-MGMT-MIB,current,.1.3.6.1.4.1.9.9.543.0.10,,This object is used to send a trap whenever the device status moves to out of compliance with  respect to smart-licensing
ciscoLwappAAARadiusServerGlobalActivated,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.1,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum",This notification is sent by the agent when the controller detects that the RADIUS server is  activated in the global list. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusServerGlobalDeactivated,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.2,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum",This notification is sent by the agent when the controller detects that the RADIUS server is  deactivated in the global list. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusServerWlanActivated,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.3,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum, claRadiusWlanIdx",This notification is sent by the agent when the controller detects that the RADIUS server is  activated on the WLAN. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusServerWlanDeactivated,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.4,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum, claRadiusWlanIdx",This notification is sent by the agent when the controller detects that the RADIUS server is  deactivated on the WLAN. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusReqTimedOut,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.5,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum, claRadiusClientMacAddress, claRadiusUserName",This notification is sent by the agent when the controller detects that the RADIUS server failed  to respond to request from a client/user. The RADIUS  server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusAuthServerAvailable,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.6,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum",This notification is sent by the agent when the controller detects that the RADIUS authenticating server is available/responsive when it was previously unavailable/unresponsive. The state change triggers this notification. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusAuthServerUnavailable,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.7,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum",This notification is sent by the agent when the controller detects that the RADIUS authenticating server is unavailable/unresponsive when it was previously available/responsive. The state change triggers this notification. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusAcctServerAvailable,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.8,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum",This notification is sent by the agent when the controller detects that the RADIUS accounting server is available/responsive when it was previously unavailable/unresponsive. The state change triggers this notification. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappAAARadiusAcctServerUnavailable,CISCO-LWAPP-AAA-MIB,current,.1.3.6.1.4.1.9.9.598.0.9,"claRadiusAddressType, claRadiusAddress, claRadiusPortNum",This notification is sent by the agent when the controller detects that the RADIUS accounting server is unavailable/unresponsive when it was previously available/responsive. The state change triggers this notification. The RADIUS server is identified by the address (claRadiusAddress) and port number (claRadiusPortNum).
ciscoLwappApIfRegulatoryDomainMismatchNotif,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.1,"cLApName, cLApDot11IfType, cLApDot11IfRegDomain, cldRegulatoryDomain","This notification  is generated if an AP radio's regulatory domain doesn't match the country the controller is configured for.  Due to the mismatch, the AP will fail to associate with the controller."
ciscoLwappApCrash,CISCO-LWAPP-AP-MIB,obsolete,.1.3.6.1.4.1.9.9.513.0.2,cLApName,"This notification is generated after an AP rejoins the controller after  a crash. Once the AP joins, the controller will get the crash file from the AP and sends this  notification."
ciscoLwappApUnsupported,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.3,"cLApName, cLApAssocFailureReason",This notification is generated after an unsupported AP tries to join the controller.
ciscoLwappApAssociated,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.4,"cLApName, cLApLastRebootReason, cLApDataEncryptionStatus",This notification is generated whenever an AP joins the controller successfully. This notification contains  information about the last reboot reason and Data  Encryption status of the AP.
ciscoLwappApPower,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.5,"cLApName, cLApPowerStatus",This notification is generated whenever an AP detects low  power from Ethernet.
ciscoLwappApRogueApDetected,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.6,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApDot11RadioChannelNumber, cLApRogueApSsid, cLApRogueType",This notification is generated whenever a rogue AP is detected.
ciscoLwappApRogueApCleared,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.7,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApDot11RadioChannelNumber, cLApRogueApSsid, cLApRogueType",This notification is generated whenever a rogue AP was detected and then subsequently if its been removed from  the network.
ciscoLwappApWipsNotification,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.8,"cLApName, cLApWipsReason, cLApWipsClear",This notification is generated whenever a controller detects a WIPS event.
ciscoLwappApNoDownlinkChannelNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.9,cLApName,This notification is generated when ever AP fails to find new downlink channel.
ciscoLwappApIfUpNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.10,"cLApSysMacAddress, cLApDot11IfSlotId, cLApPortNumber, cLApIfUpDownFailureType, cLApIfUpDownCause, cLApIfUpDownFailureCode, cLApName",This notification is generated when AP's Interface operational status goes up.
ciscoLwappApIfDownNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.11,"cLApSysMacAddress, cLApDot11IfSlotId, cLApAdminStatus, cLApDot11IfAdminStatus, cLApIfUpDownFailureType, cLApIfUpDownCause, cLApIfUpDownFailureCode, cLApName",This notification is generated when AP's Interface operational status goes down.
ciscoLwappApClientThresholdNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.12,"cLApSysMacAddress, cLApName, cLApDot11IfSlotId, cLApDot11IfType, cLRFProfileHighDensityMaxRadioClients, cLRFProfileHDClientTrapThreshold",This notification is generated when the number of clients on the AP's Radio Interface exceeds the limit defined in cLRFProfileHDClientTrapThreshold.
ciscoLwappApUpgradeFailureNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.13,"cLApSysMacAddress, cLApName, cLApUpgradeFromVersion, cLApUpgradeToVersion, cLApUpgradeFailureCause",This notification is generated when AP image upgrade failed.
ciscoLwappApCpuUsageHigh,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.14,"cLApSysMacAddress, cLApName, cLApCpuCurrentUsage, cLApAlarmSet","When an AP detects its CPU usage is higher than the threshold configured in clsSysApCpuUsageThreshold,  this notification is generated with cLApAlarmSet set to true. When this AP's CPU usage falls below the threshold lately, this notification is generated with cLApAlarmSet set to false."
ciscoLwappApMemoryUsageHigh,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.15,"cLApSysMacAddress, cLApName, cLApMemoryCurrentUsage, cLApAlarmSet","When an AP detects its memory usage is higher than the threshold configured in clsSysApMemoryUsageThreshold, this notification is generated with cLApAlarmSet set to true. When this AP's memory usage falls below the threshold lately, this notification is generated with cLApAlarmSet set to false."
ciscoLwappApMaxClientLimitNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.16,"cLApSysMacAddress, cLApName, cLApDot11IfSlotId, cLApMaxClientLimitNumberTrap, cLApMaxClientLimitCause, cLApMaxClientLimitSet",This notification is generated when the event that  max client limit reached is raised or cleared.
ciscoLwappApAdjChannelRogueDetected,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.17,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApRogueDetectedChannel, cLApRSSI, cLApSNR, cLApDot11RadioCurrentChannel, cLApAdhocRogue, cLApRogueApSsid, cLApRogueClassType",This notification is generated whenever a rogue AP is detected at the Adjacent channels
ciscoLwappApAdjChannelRogueCleared,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.18,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApRogueDetectedChannel, cLApDot11RadioCurrentChannel",This notification is generated whenever a rogue AP is detected at the Adjacent channels and then subsequently if its been removed from the network.
ciscoLwappApRogueDetected,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.19,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApRogueDetectedChannel, cLApRSSI, cLApSNR, cLApRogueAPOnWiredNetwork, cLApAdhocRogue, cLApRogueApSsid, cLApRogueClassType, cLApRogueMode, cLApRogueIsClassifiedByRule, cLApSeverityScore, cLApRuleName, cLApRogueClassifiedApMacAddress, cLApRogueClassifiedRSSI",This notification is generated whenever a rogue AP is detected at the same channel.
ciscoLwappApCurrentChannelRogueDetected,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.20,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApRogueDetectedChannel, cLApRSSI, cLApSNR, cLApDot11RadioCurrentChannel, cLApAdhocRogue, cLApRogueApSsid, cLApRogueClassType",This notification is generated whenever a rogue AP is detected at the Current channel.
ciscoLwappApCurrentChannelRogueCleared,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.21,"cLApSysMacAddress, cLApName, cLApRogueApMacAddress, cLApEthernetIfSlotId, cLApDot11IfType, cLApRogueDetectedChannel, cLApDot11RadioCurrentChannel",This notification is generated whenever a rogue AP is detected at the Current channels and then subsequently if its been removed from the network.
ciscoLwappApMonitorModeChangeNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.22,"cLApSysMacAddress, cLApName, cLAPPreviousMonitorMode, cLAPCurrentMonitorMode",This notification is generated when the event that  AP monitor mode changed.
ciscoLwappApAcTimeSyncFailureTrap,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.23,"cLApSysMacAddress, cLApName",This notification is generated when the heartbeat between AP and Controller is lost or connection broken.
ciscoLwappApSsidKeyConflict,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.24,"cLApSysMacAddress, cLApIfMacAddress, cLApSsidKeyConfSsidA, cLApSsidKeyConfKeyIdxA, cLApSsidKeyConfSsidB, cLApSsidKeyConfKeyIdxB",This notification is generated whenever 2 SSIDs on same AP have same cipher key. 
ciscoLwappApCurrChannelChanged,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.25,"cLApSysMacAddress, cLApName, cLApDot11IfSlotId, cLApPreviousChannel, cLApCurrentChannel, cLApChannelCustomize",This notification is generated when the channel is changed  by automatic or customized.
ciscoLwappApCapwapRetransmissionQueueFullEvent,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.26,cLApSysMacAddress,This notification will be sent whenever capwap retransmission  queue for an AP is filled.
ciscoLwappApSystemBootupEvent,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.27,cLApSysMacAddress,EUR This notification will be sent whenever System Boots Up.
ciscoLwappXmFilterCheckWarning,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.28,cLApName,This notification will be sent whenever  Co-existence filter is Not present 
ciscoLwappApModeUnsupportedOnFlexExpressEvent,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.29,cLApSysMacAddress,This notification will be sent whenever ap with unsupported mode joins flexexpress wlc or virtual wlc
ciscoLwappRadioRoleChangeNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.30,"cLApSysMacAddress, cLApName, cLApDot11IfSlotId, cLApDot11XorRadioBand, cLApDot11XorRadioRoleChangeReason",This notification will be sent whenever XOR radio of AP is changed its Radio role
ciscoLwappRadioBandChangeNotify,CISCO-LWAPP-AP-MIB,current,.1.3.6.1.4.1.9.9.513.0.31,"cLApSysMacAddress, cLApName, cLApDot11IfSlotId, cLApDot11XorRadioBand, cLApDot11XorRadioBandChangeReason",This notification will be sent whenever XOR radio of AP has changed its Band
clSensorNotReachableWsaDevStatus,CISCO-LWAPP-CLOUD-SERVICES-MIB,current,.1.3.6.1.4.1.9.9.99999.0.1,,This object is used to send a trap whenever the device status moves to out of compliance with  respect to smart-licensing
ciscoLwappDhcpScopeAddressExhaust,CISCO-LWAPP-DHCP-MIB,current,.1.3.6.1.4.1.9.9.792.0.1,"cLDhcpScopeName, cLDhcpTrapSet","This notification will be sent whenever the DHCP Scope has no IP address available, with cLDhcpTrapSet set to true. When the clients released an IP address lately, this notification is sent with cLDhcpTrapSet set to false."
cldccDiagClientAssociatedToDiagWlan,CISCO-LWAPP-DOT11-CCX-CLIENT-DIAG-MIB,current,.1.3.6.1.4.1.9.9.599.3.2.1.1,"cldccDiagClientMacAddress, cldccDiagAssocReasonCode",This notification is generated when a client associates to a diagnostic WLAN. 
ciscoLwappDot11ClientKeyDecryptError,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.1,"cldcAssociationMode, cldcClientMacAddress, cldcApMacAddress, cldcIfType, cLApName, cldcClientAuthMode",This notification is generated when a decrypt error occurs. The WEP WPA or WPA2 Key configured at the station may be wrong. cldcAssociationMode represents the association mode for which  the key decrypt error occurred. cldcApMacAddress represents the MacAddress of the AP to which the client is associated. cldcIfType represents the wireless interface type of the client. cLApName represents the name of the AP to which the client is  associated.
ciscoLwappDot11ClientAssocNacAlert,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.2,"cldcClientMacAddress, cldcClientWlanProfileName, cldcClientIPAddress, cldcApMacAddress, cldcClientQuarantineVLAN, cldcClientAccessVLAN, cldcClientAuthMode","This notification is generated when the client on NAC enabled SSIDs complete layer2 authentication . This is to inform about  client's presence to the NAC appliance. cldcClientWlanProfileName represents the profile name of the  WLAN, this 802.11 wireless client is connected to. cldcClientIPAddress represents the unique ipaddress of the  client. cldcApMacAddress represents the MacAddress of the AP to which the client is associated. cldcClientQuarantineVLAN represents the quarantine VLAN for  the client. cldcClientAccessVLAN represents the access VLAN for the client."
ciscoLwappDot11ClientDisassocNacAlert,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.3,"cldcClientMacAddress, cldcClientWlanProfileName, cldcClientIPAddress, cldcApMacAddress, cldcClientQuarantineVLAN, cldcClientAccessVLAN","This notification is generated when the controller removes the client entry on NAC enabled SSIDs. cldcClientWlanProfileName represents the profile name of the  WLAN, this 802.11 wireless client is connected to. cldcClientIPAddress represents the unique ipaddress of the  client. cldcApMacAddress represents the MacAddress of the AP to which the client is associated. cldcClientQuarantineVLAN represents the quarantine VLAN for the client. cldcClientAccessVLAN represents the access VLAN for the client. This is issued on NAC enabled ssids, whenever WLC removes client's entry."
ciscoLwappDot11ClientMovedToRunState,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.4,"cldcClientMacAddress, cldcClientIPAddress, cldcClientUsername, cldcClientSSID, cldcApMacAddress, cLApDot11IfSlotId, cLApName",This notification is generated when the client completes the PEM state and moves to the RUN state. cldcClientUsername represents the username used by the client. cldcClientIPAddress represents the unique ipaddress of the  client. cldcClientSSID represents the SSID of the WLAN to which the  client is associated. cldcApMacAddress represents the MacAddress of the AP to which the client is associated. cLApDot11IfSlotId represents the slotId of the AP to which the client is associated. cLApName represents the name of the AP to which the client is  associated.
ciscoLwappDot11ClientStaticIpFailTrap,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.5,"cldcClientMacAddress, cldcClientIPAddress",This is issued whenever the subnet defined for the Static IP of a Client is not found.
ciscoLwappDot11ClientDisassocDataStatsTrap,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.6,"cLApName, cLApDot11IfSlotId, cldcClientByIpAddressType, cldcClientByIpAddress, cldcApMacAddress, cldcClientReasonCode, cldcClientUsername, cldcClientSSID, cldcClientSessionID, cldcClientTxDataPackets, cldcClientTxDataBytes, cldcClientRxDataPackets, cldcClientRxDataBytes",The disassociate notification shall be sent when the Station sends a Disassociation frame. The value of the notification shall include the MAC address of the MAC to which the  Disassociation frame was sent and the reason for the  disassociation
ciscoLwappDot11ClientAssocDataStatsTrap,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.7,"cLApDot11IfSlotId, cldcClientByIpAddressType, cldcClientByIpAddress, cldcApMacAddress, cldcClientUsername, cldcClientApRoamMacAddress, cldcClientSSID, cldcClientTxDataPackets, cldcClientTxDataBytes, cldcClientRxDataPackets, cldcClientRxDataBytes",The associate notification shall be sent when the Station sends a association frame.
ciscoLwappDot11ClientSessionTrap,CISCO-LWAPP-DOT11-CLIENT-MIB,current,.1.3.6.1.4.1.9.9.599.0.8,"cLApDot11IfSlotId, cLApName, cldcClientByIpAddressType, cldcClientByIpAddress, cldcClientUsername, cldcClientSSID, cldcClientSessionID, cldcApMacAddress",Issued when the client completes the PEM state and moves to the RUN state.
